■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2019-10-26,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 1980~2019   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
11456,불륜정사-뒷조사,이마오카 신지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-13,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11457,불륜조사보고서-실황,세키네 카즈미,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-09-13,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11458,불륜처 - 머리를 올려라,쿠니자와 호시미,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-02-10,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11459,불륜혼탕 온천여관,후지타 미키오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-12-14,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11460,불붙은 돌싱녀들-딸은 옆방,사사키 유하라,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-08-02,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11461,불임 클리닉:아기가 갖고 싶어요,모리 히데토라,,(주)영진크리에이티브,(주)영진크리에이티브,2019-06-11,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11462,붉게 발정난 색녀,이케시마 유타카,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-01-19,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11463,붉은 비키니,최무연,(주)로드하우스,,(주)로드하우스,2017-07-25,개봉영화,장편,한국,1,"6,000",1,0,0,기타,청소년관람불가,일반영화
11464,붉은 알몸-격정사,와타나베 모토츠구,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-01,개봉영화,장편,일본,1,"8,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11465,브라더 콤플렉스,키베 코스케,,(주)영진크리에이티브,(주)영진크리에이티브,2017-05-26,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11466,브래지어 낚시 : 대물 낚은 아줌마,,,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,2019-08-09,개봉영화,장편,일본,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
11467,브레이크,오츠루 키탄,,(주)영진크리에이티브,(주)영진크리에이티브,2017-05-31,개봉영화,장편,일본,1,"5,000",1,0,0,액션,15세이상관람가,일반영화
11468,브룩클린스 파이니스트,안톤 후쿠아,,(주)미디어데이,(주)미디어데이,2014-11-13,개봉영화,장편,미국,1,"8,000",1,"8,000",1,액션,청소년관람불가,일반영화
11469,브림스톤,마틴 쿨호벤,,유니콘미디어(주),유니콘미디어(주),2018-07-19,개봉영화,장편,네덜란드,1,"6,600",1,"6,600",1,미스터리,청소년관람불가,독립/예술영화
11470,블랙 라이더,가브리엘 세블로프,,(주)퍼스트런,(주)퍼스트런,2016-11-14,개봉영화,장편,미국,1,"4,000",1,"4,000",1,액션,청소년관람불가,일반영화
11471,블랙 로즈,알렉산더 네브스키,,제인앤유,제인앤유,2016-12-28,개봉영화,장편,러시아,1,"7,000",1,"7,000",1,액션,청소년관람불가,일반영화
11472,블랙 스완: 흑화,,,(주)소나무픽쳐스,(주)소나무픽쳐스,2019-06-12,개봉영화,장편,미국,1,"5,000",1,0,0,공포(호러),청소년관람불가,일반영화
11473,블랙옵스 vs 좀비닌자,로디 클로드,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-13,개봉영화,장편,호주,1,"7,000",1,0,0,액션,15세이상관람가,일반영화
11474,블랙홀,마크 스티븐 그로브,,주식회사 루믹스미디어,주식회사 루믹스미디어,2015-11-26,개봉영화,장편,미국,1,"5,000",1,0,0,SF,12세이상관람가,일반영화
11475,블러드 다이아몬드 파이널,피에르 라파그,,(주)케이알씨지,(주)케이알씨지,2019-02-02,개봉영화,장편,프랑스,1,"1,000",1,"1,000",1,액션,15세이상관람가,독립/예술영화
11476,블러드 뱀파이어,매튜 아바야,,(유)조이앤시네마,(유)조이앤시네마,2018-06-27,개봉영화,장편,미국,1,"1,000",1,0,0,공포(호러),청소년관람불가,일반영화
11477,블러드 서커스,제이콥 쿠니,,모비딕엔터테인먼트(주),모비딕엔터테인먼트(주),2017-12-14,개봉영화,장편,미국,1,"5,000",1,0,0,액션,15세이상관람가,일반영화
11478,블러드 스크림,,,(유)조이앤시네마,(유)조이앤시네마,2018-07-04,개봉영화,장편,영국,1,"1,000",1,0,0,스릴러,청소년관람불가,일반영화
11479,블러드 앤 초콜렛,카챠 본 가르니에,베릭,(주)누리픽쳐스,(주)누리픽쳐스,2010-06-10,개봉영화,장편,루마니아,1,"7,000",1,"7,000",1,공포(호러),15세이상관람가,일반영화
11480,비구니자매의비밀애,토모마츠 나오유키,,(주)영진크리에이티브,(주)영진크리에이티브,2017-08-29,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11481,비뇨기과 미인선생,후지모리 나카오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-02-08,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11482,비뇨기과 여의사들 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-05-24,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11483,비디오 속 나의 비밀정사,진노 후토시,,(주)영진크리에이티브,(주)영진크리에이티브,2015-12-19,개봉영화,장편,일본,1,"9,000",1,"9,000",1,멜로/로맨스,청소년관람불가,일반영화
11484,비디오 속 내 아내,토미 타로,,(주)영진크리에이티브,(주)영진크리에이티브,2017-05-17,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11485,비마나 미스터리,다니엘 미릭,,(주)시네마천국,(유)영화사 화수분,2017-07-27,개봉영화,장편,모로코,1,"6,000",1,0,0,SF,15세이상관람가,일반영화
11486,비밀 섹스:잠든 남편 옆에서,버드맨 텟페이,,(주)영진크리에이티브,(주)영진크리에이티브,2019-09-03,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11487,비밀 회의실 : 갇혀버린 여사원,,,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,2019-04-19,개봉영화,장편,일본,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
11488,비밀섹스:굶주린 아내의 일탈,타카하시 오사무,,(주)영진크리에이티브,(주)영진크리에이티브,2017-09-20,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11489,비밀섹스:발정난 아내들,야마다 후토시,,(주)영진크리에이티브,(주)영진크리에이티브,2017-10-13,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11490,비밀애:길들여진 유부녀들,토미죠 타로,,(주)영진크리에이티브,(주)영진크리에이티브,2018-01-26,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11491,비밀의 심야영업,나베 유키오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-09-01,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11492,비밀정사 : 작은엄마,"이상민,이상민",(주)영화사가을,,(주)영화사가을,2018-01-18,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11493,비밀정사:작은엄마 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-24,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11494,비밀조직의 음탕한 갱생 훈련,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2018-11-19,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11495,비스티걸스 감독판,신진우,(주)마고필름,,(주)마고필름,2018-04-25,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,독립/예술영화
11496,비오는 오후의 정사,코지마 유키오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-09-01,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11497,비전스,케빈 그루터트,,(주)누리픽쳐스,(주)누리픽쳐스,2017-03-15,개봉영화,장편,미국,1,"8,000",1,0,0,공포(호러),청소년관람불가,일반영화
11498,비즈니스 호텔 출장마사지,와타나베 키요시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-06-02,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11499,비트윈 어스,단 미르비쉬,,(주)액티버스엔터테인먼트,(주)액티버스엔터테인먼트,2016-02-25,개봉영화,장편,미국,1,"5,000",1,"5,000",1,드라마,15세이상관람가,일반영화
11500,비포 위 고,크리스 에반스,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-12-02,개봉영화,장편,미국,1,"8,000",1,0,0,코미디,15세이상관람가,독립/예술영화
11501,빅 브라더,,,㈜코리아스크린,㈜코리아스크린,2019-08-01,개봉영화,장편,홍콩,1,"5,000",1,0,0,액션,15세이상관람가,일반영화
11502,빅 스카이,호르헤 미첼 그라우,,(주)스마일이엔티,(주)스마일이엔티,2016-10-13,개봉영화,장편,미국,1,"5,000",1,0,0,스릴러,15세이상관람가,일반영화
11503,빅 스코어,노예 산타릴 로페즈,,(주)이놀미디어,(주)이놀미디어,2018-09-11,개봉영화,장편,멕시코,1,"2,000",1,"2,000",1,범죄,청소년관람불가,일반영화
11504,빈야드: 레드 와인의 저주,제임스 캐츠,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2016-10-12,개봉영화,장편,칠레,1,"4,000",1,"4,000",1,판타지,15세이상관람가,일반영화
11505,빨간 아가씨-정략결혼,테이 쟈가,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-02-08,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11506,빨간 아내-몽유정사,테이 쟈가,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-08-23,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11507,빨간 유카타의 여인,카리노나 마이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-08-17,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11508,빨간 팬티 유부녀,모리 신이치,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-07-19,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11509,빨간 폭주 정사,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-01-04,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11510,빨간맛의 옆집 부인,미나토야 켄타로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-07-06,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11511,빨간사과와 거유녀,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-01-18,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11512,빨간치마의 단지처-육식계,드래곤 니시카와,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-09-19,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11513,빼앗긴 아내,크왓치,,(주)플라이어,(주)플라이어,2018-01-26,개봉영화,장편,일본,1,"6,000",1,0,0,기타,청소년관람불가,일반영화
11514,빼앗긴 아내,나쿠루 하라다,,(주)영진크리에이티브,(주)영진크리에이티브,2017-01-20,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11515,빼앗긴 아내: 이웃남자,네지메 지로,,(주)영진크리에이티브,(주)영진크리에이티브,2018-01-03,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11516,빼앗긴 아내의 순결,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2017-06-06,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11517,빽바지의 간호도우미,타카사카 켄타로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-01-07,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11518,뺏고 싶은 형수,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-01-25,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11519,뺑덕어멈,이숭환,(주)케이알씨지,,(주)케이알씨지,2019-06-20,개봉영화,장편,한국,1,"1,000",1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
11520,뽕2014(무삭제),공자관,밀크픽처스,,밀크픽처스,2015-04-23,개봉영화,장편,한국,1,"8,000",1,"8,000",1,멜로/로맨스,청소년관람불가,일반영화
11521,뿜어낸 거유 여사원,고토 다이스케,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-01-19,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11522,사내 불륜 : 나를 여자로 만들어 준 남자,,,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,2019-09-20,개봉영화,장편,일본,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
11523,사내 성욕 처리반,토모마츠 나오유키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-02-02,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11524,사내 연애-은밀하게 깊숙하게,히이라기 엔부,,(주)영진크리에이티브,(주)영진크리에이티브,2019-07-18,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11525,사내연애발각-오피스정사,에모토 토시로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-12-08,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11526,사내커플의 외출,오데라 슌고,,(주)빅마운틴컬쳐스,(주)빅마운틴컬쳐스,2017-07-27,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11527,사냥: 헌터스 킬러,크리스 브라이언트,,(주)케이알씨지,(주)케이알씨지,2016-07-28,개봉영화,장편,프랑스,1,"3,000",1,0,0,공포(호러),청소년관람불가,일반영화
11528,사돈처녀 - 무삭제판,김태수,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-03-18,개봉영화,장편,한국,1,"2,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11529,사라진 시간,엠마누엘 산도발,,(유)조이앤시네마,(유)조이앤시네마,2018-09-23,개봉영화,장편,미국,1,"1,000",1,"1,000",1,공포(호러),15세이상관람가,독립/예술영화
11530,사랑과 성욕의 차이,하세가와 쿠니히로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-11-18,개봉영화,장편,일본,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11531,사랑과 영혼 2016,제임스 콕스,,(주)케이알씨지,(주)케이알씨지,2016-03-02,개봉영화,장편,미국,1,"5,000",1,0,0,코미디,15세이상관람가,일반영화
11532,사랑에 빠진 여자,토마스 바실레프스키,,주식회사 풍경소리,주식회사 풍경소리,2017-03-17,개봉영화,장편,폴란드,1,"3,000",1,0,0,멜로/로맨스,청소년관람불가,독립/예술영화
11533,사랑에도 저작권이 있나요?,최경진,골든타이드픽처스(주),,골든타이드픽처스(주),2015-05-21,개봉영화,장편,한국,1,"8,000",1,"8,000",1,코미디,청소년관람불가,일반영화
11534,사랑의 한방울까지-즙남,마츠무라 아슈,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-02-09,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11535,사모님과 민감한 정사,카니에,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-01-07,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11536,사모님의 난잡한생활 - 제대로 난교,스즈키 켄이치로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-03-04,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11537,사모님의 욕정을 채워준 남편 부하,토미죠 타로,,(주)영진크리에이티브,(주)영진크리에이티브,2018-10-30,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11538,사무라이-검신 주베에,시게루 이시하라,,(주)영진크리에이티브,(주)영진크리에이티브,2019-01-10,개봉영화,장편,일본,1,"6,000",1,0,0,액션,15세이상관람가,일반영화
11539,사무라이vs좀비,,,(주)아이브픽쳐스,(주)아이브픽쳐스,2017-07-25,개봉영화,장편,일본,1,"3,000",1,0,0,공포(호러),청소년관람불가,일반영화
11540,사스카치 빅풋,,,(유)조이앤시네마,(유)조이앤시네마,2019-05-02,개봉영화,장편,미국,1,"1,000",1,"1,000",1,공포(호러),15세이상관람가,일반영화
11541,사악한 정사,가와사키 히로유키,,조이앤키노,조이앤키노,2015-06-11,개봉영화,장편,일본,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11542,사이드 이펙트,"안드레아스 클리멘트,안드레 헤데토프트",,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2018-07-03,개봉영화,장편,스웨덴,1,"1,000",1,0,0,SF,15세이상관람가,일반영화
11543,사이드트랙크드,알바로 페르난데즈 아메로,,(주)모멘텀엔터테인먼트,(주)모멘텀엔터테인먼트,2017-02-12,개봉영화,장편,스페인,1,"6,000",1,0,0,드라마,15세이상관람가,일반영화
11544,사이몬과 타카시,오다 마나부,,제인앤유,제인앤유,2019-05-07,개봉영화,장편,일본,1,"1,000",1,0,0,코미디,15세이상관람가,일반영화
11545,사이코패스,미키 키팅,,제인앤유,제인앤유,2019-09-18,개봉영화,장편,미국,1,"1,000",1,0,0,공포(호러),청소년관람불가,일반영화
11546,사이클로트론,올리비에 아슬랭,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2018-04-23,개봉영화,장편,캐나다,1,"2,000",1,"2,000",1,미스터리,12세이상관람가,일반영화
11547,사장님께 소장당한 청순여직원,히로아키,,(주)플라이어,(주)플라이어,2019-02-13,개봉영화,장편,일본,1,"6,000",1,0,0,드라마,청소년관람불가,일반영화
11548,사장에게 유혹당하는 여배우 지망생,마키무라 츄타,,(주)플라이어,(주)플라이어,2019-08-23,개봉영화,장편,일본,1,"6,000",1,0,0,드라마,청소년관람불가,일반영화
11549,사장을 기다리는 아내,긴다이치 코고로,,(주)플라이어,(주)플라이어,2018-11-15,개봉영화,장편,일본,1,"6,000",1,0,0,드라마,청소년관람불가,일반영화
11550,사촌 누나 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-11-13,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11551,사촌 여동생들: 금단의 사랑,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-05-30,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11552,사촌 여동생들: 금단의 사랑(무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-03,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11553,사촌누나들,이상민,(주)영화사가을,,(주)영화사가을,2018-03-30,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11554,사촌누나들 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-23,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11555,사촌누나와 동거,김순수,(주)이놀미디어,,(주)이놀미디어,2017-11-24,개봉영화,장편,한국,1,"3,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11556,사촌누나의 개인교습,밤비노 푸린,,(주)영진크리에이티브,(주)영진크리에이티브,2017-09-08,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11557,사촌누나의 원룸습격,후지모리 히데오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-01-11,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11558,사촌여동생 무삭제판,양호열,케이제이픽처스,,케이제이픽처스,2018-01-17,개봉영화,장편,한국,1,"5,000",1,0,0,,청소년관람불가,일반영화
11559,사촌여동생들,정민용,스마일컨텐츠,,스마일컨텐츠,2019-04-22,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11560,사촌여동생들-무삭제,정민용,스마일컨텐츠,,스마일컨텐츠,2019-05-31,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11561,사춘기 여동생,이상수,선셋 시네마,,선셋 시네마,2018-09-12,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
11562,사춘기 여동생 무삭제판,이상수,선셋 시네마,,선셋 시네마,2019-03-04,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
11563,사춘기정사 미망인,타케호라 테츠야,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-03-04,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11564,사케와 뜨거운 정사,사카모토 후토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-02-10,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11565,사쿠라 여자 수용소,하세가와 쿠니히로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-11-11,개봉영화,장편,일본,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11566,사쿠라이 아유의 유혹,카츠라기 히로후미,,(주)플라이어,(주)플라이어,2016-09-29,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11567,사쿠란-관능의 시대극 무삭제판,카와사키 히로유키,,조이앤키노,조이앤키노,2015-07-09,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11568,사탄의 부활,키이스 앨런,,(주)케이알씨지,(주)케이알씨지,2016-01-14,개봉영화,장편,미국,1,"4,000",1,0,0,공포(호러),청소년관람불가,일반영화
11569,사탄의 자장가,,,(주)알이디아이스엔터,(주)알이디아이스엔터,2019-03-22,개봉영화,장편,미국,1,"1,000",1,0,0,공포(호러),청소년관람불가,일반영화
11570,산부인과 남자의사,오우치 아이리,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-03-08,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11571,산부인과 레지던트,사카다 히로키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-06-14,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11572,살인게임,아눕 랜기,,라인트리엔터테인먼트,라인트리엔터테인먼트,2015-12-24,개봉영화,장편,미국,1,"5,000",1,0,0,액션,청소년관람불가,일반영화
11573,살인게임 79,필립 매시제윅,,(주)케이알씨지,(주)케이알씨지,2016-01-21,개봉영화,장편,미국,1,"4,000",1,0,0,액션,15세이상관람가,일반영화
11574,살인범의 기억,아키라 사토시,,(주)케이알씨지,(주)케이알씨지,2017-06-27,개봉영화,장편,일본,1,"3,000",1,0,0,스릴러,청소년관람불가,일반영화
11575,살인병동,,,(주)피터팬픽쳐스,(주)피터팬픽쳐스,2017-12-26,개봉영화,장편,캐나다,1,"3,000",1,0,0,공포(호러),청소년관람불가,일반영화
11576,살인의 기억법,,,(주)컴퍼니엘,(주)컴퍼니엘,2017-07-06,개봉영화,장편,미국,1,"3,000",1,0,0,기타,15세이상관람가,일반영화
11577,살인의 늪,알베르토 로드리게즈,,(주)영화사 빅,(주)영화사 빅,2016-02-11,개봉영화,장편,스페인,1,"5,000",1,0,0,스릴러,15세이상관람가,독립/예술영화
11578,살인의 흉터,에디 렝겔,,(유)조이앤시네마,(유)조이앤시네마,2018-10-06,개봉영화,장편,미국,1,"1,000",1,"1,000",1,공포(호러),청소년관람불가,일반영화
11579,상냥한 여주인들,키탄,,(주)영진크리에이티브,(주)영진크리에이티브,2017-05-24,개봉영화,장편,일본,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11580,상류시대 무삭제판,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2019-03-25,개봉영화,장편,한국,1,"2,000",1,"2,000",1,드라마,청소년관람불가,일반영화
11581,상사를 사랑한 여직원,카타오카 슈지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-11-04,개봉영화,장편,일본,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11582,상사의 딸들과 한집에서,다케다 하루오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-08-02,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11583,상사의 부인,하시구치 타카아키,,(주)소나무픽쳐스,(주)소나무픽쳐스,2016-05-03,개봉영화,장편,일본,1,"9,000",1,"9,000",1,멜로/로맨스,청소년관람불가,일반영화
11584,상사의 아내,타다시 코마고메,,(주)라온컴퍼니플러스,(주)라온컴퍼니플러스,2019-07-09,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11585,상사의 아내와 은밀한 스캔들,키무라 히로유키,,(주)영진크리에이티브,(주)영진크리에이티브,2019-02-11,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11586,상사의 애인과 불륜절정,존 류지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-09-06,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11587,새로운 하녀와 불륜남이 이상하다,스즈키 켄지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-06-03,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
11588,새벽 세시 : 잠들지 못한 자의 이야기,"이사라 나디,키라티 나킨타논,푸티퐁 사이시깨우",,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2015-09-24,개봉영화,장편,태국,1,"6,000",1,0,0,공포(호러),15세이상관람가,일반영화
11589,새벽의 저주: 좀비랜드,글렌 밀러,,(주)케이알씨지,(주)케이알씨지,2017-10-25,개봉영화,장편,미국,1,"3,000",1,0,0,공포(호러),15세이상관람가,일반영화
11590,새아빠,네지메 지로,,(주)영진크리에이티브,(주)영진크리에이티브,2018-03-16,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
11591,새아빠,이상민,(주)영화사가을,,(주)영화사가을,2018-06-15,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
